운동명,운동 정보,운동 소개,운동 절차,운동 팁,썸네일 링크,유튜브 링크
Hip Abduction Machine,"{""targetMuscleGroup"":""Abductors"",""exerciseType"":""Strength"",""equipmentRequired"":""Machine"",""mechanics"":""Isolation"",""forceType"":""Push (Bilateral)"",""experienceLevel"":""Beginner"",""secondaryMuscles"":""Abs, Glutes, Hamstrings ""}","The hip abduction machine exercise is an exercise used to strengthen the abductors.
The abductors play a critical role in core stability and having strong abductors can result in better personal records on the squat and deadlift.
From an aesthetic perspective, performing hip abduction isolation exercises assists in the development of a full pair of glutes and hips.
","Setup in an upright position with your back against the pad and your spine neutral Exhale and push the legs apart as you open the pads Once your hips are fully externally rotated, slowly return to the starting position Repeat for the desired number of repetitions ","Experiment with foot and pelvis position  Depending upon the shape of your hip, you may need a slightly more internal or external starting position to fully maximize the contraction Similarly, be mindful of your pelvic position - don’t allow the back to arch as this will tip the hips forward and place the adductors under excessive stretch before the contraction which can affect force output If you can’t seem to figure out how to change the position of your pelvis while seated, experiment with changing the position of the torso (i e  lean forward or push your back into the pad) ",https://cdn.muscleandstrength.com/sites/default/files/hip-abduction-machine.jpg,https://www.youtube.com/embed/7pbZA7ncuq8?rel=0
Cable Hip Abduction,"{""targetMuscleGroup"":""Abductors"",""exerciseType"":""Strength"",""equipmentRequired"":""Cable"",""mechanics"":""Isolation"",""forceType"":""N/A"",""experienceLevel"":""Beginner"",""secondaryMuscles"":""Glutes ""}",,"Set up for the cable hip abduction by attaching an ankle strap (if one is not available, a single handle may suffice) to the low pulley of a cable pulley machine and set your desired weight on the stack Attach the ankle strap to your left ankle and stand up straight with your feet close together with your right foot closest to the machine  You can use your right arm to hold onto the machine for stability You are now in the staring position Begin the movement by lifting your left leg straight out to your side as high as comfortably possible This will lift the weight from the stack Pause for a moment and then slowly lower your leg back to the starting position  Repeat for the desired amount of reps  Turn around, attach the the strap to your right ankle and then repeat with your right leg ​Exercise ","Stand up straight and focus on moving only at the hip Keep your torso as still as possible You can eventually begin to increase the range of motion by standing further and further away from the machine This will require a good deal of balance as you won't be able to hold onto the machine ",https://cdn.muscleandstrength.com/sites/default/files/styles/400x250/public/field/image/exercise/cableabduction1.jpg?itok=fxaZxcVX,
Lying Floor Leg Raise,"{""targetMuscleGroup"":""Abs"",""exerciseType"":""Strength"",""equipmentRequired"":""Bodyweight"",""mechanics"":""Isolation"",""forceType"":""Pull (Bilateral)"",""experienceLevel"":""Beginner"",""secondaryMuscles"":""None ""}","The lying floor leg raise is a variation of the abdominal crunch and an exercise used to isolate the muscles of the abdomen.
The lying floor leg raise is a flexion based exercise which keeps the lower abdominal muscles under constant tension during the entire range of motion.
","Lay supine in a relaxed position with your legs straight and your hands underneath your low back for support Keep your legs straight and raise them towards your forehead while contracting your abdominals and exhaling Once your abs are fully contracted and your legs are slightly above parallel, slowly lower your legs back to the starting position Complete for the assigned number of repetitions ","Exhale hard like you’re blowing out candles on a cake and hold the contraction for a second in order to improve mind muscle connection If your lower back bothers you during this exercise, choose more anti extension and anti rotation based movements Avoid putting the hands behind the head as this can lead to excess strain upon the neck ",https://cdn.muscleandstrength.com/sites/default/files/lying-leg-raise-1.jpg,https://www.youtube.com/embed/r24ntO4IvKc?rel=0
Weighted Crunch,"{""targetMuscleGroup"":""Abs"",""exerciseType"":""Strength"",""equipmentRequired"":""Other"",""mechanics"":""Isolation"",""forceType"":""Pull"",""experienceLevel"":""Intermediate"",""secondaryMuscles"":""None ""}","The weighted crunch is a variation of the crunch and an exercise used to build the abdominal muscles.
Adding weight is a common form of progression used to make bodyweight exercises, such as the crunch, more challenging. Doing so allows for the lifter to progress, adapt, and build more muscle.
","Lay supine in a relaxed position with your knees bent Hold a weight plate directly over your chest and press it to extension Raise your knees to 90 degrees, at which point they will be perpendicular to the floor Exhale as you reach towards your toes with the weight plate Once your abs are fully contracted and your upper back is off the floor, slowly lower yourself back to the starting position Complete for the assigned number of repetitions ","Exhale hard like you’re blowing out candles on a cake and hold the contraction for a second to improve mind muscle connection If your lower back bothers you during this exercise, choose more anti extension and anti rotation based movements Avoid putting the hands behind the head as this can lead to excess strain upon the neck ",https://cdn.muscleandstrength.com/sites/default/files/weighted-crunch.jpg,https://www.youtube.com/embed/6kHg3JAFNFo?rel=0
Cable Crunch,"{""targetMuscleGroup"":""Abs"",""exerciseType"":""Strength"",""equipmentRequired"":""Cable"",""mechanics"":""Isolation"",""forceType"":""Pull"",""experienceLevel"":""Beginner"",""secondaryMuscles"":""None ""}",,"Attach the rope attachment to a high pulley cable and set the appropriate weight on the stack Stand directly in front of the cable machine, facing away from it Grasp the rope from behind your head with your palms facing inward and drop to your knees Your buttocks should be resting on top of your feet Keeping your elbows bent and hands at either head height or shoulder height, crunch down as far as possible Pause, then slowly lower yourself back to the starting position Cable Crunch ","This exercise works best when done slowly with perfect form Your buttocks should stay touching your heels at all times Focus on crunching the abs in, not pivoting at the hips As you increase weight it may be more comfortable to rest the rope on your shoulders Don't choose a weight so heavy that your lower back handles most of the resistance  ",https://cdn.muscleandstrength.com/sites/default/files/styles/400x250/public/field/image/exercise/cablecrunch1.jpg?itok=KFt8MeLP,
Dumbbell Side Bends,"{""targetMuscleGroup"":""Abs"",""exerciseType"":""Strength"",""equipmentRequired"":""Dumbbell"",""mechanics"":""Isolation"",""forceType"":""Pull"",""experienceLevel"":""Beginner"",""secondaryMuscles"":""None ""}",,"This exercise works the obliques Grasp a set of dumbbells Stand straight up with one dumbbell in each hand, palms facing in Keep your feet firmly on the floor with a shoulder width stance Keeping your back straight and your eyes facing forwards, bend down to the right as far as you can, then back up again Without pausing at the top, bend down to the left Repeat for desired reps ​Side Bend ","Always keep your back straight, eyes facing forwards, and bend at the torso only Concentrate on the stretch and contraction of the oblique muscles (down the side of your body) Keep the dumbbells close to your body This exercise can also be performed while seated on the end of a bench  ",https://cdn.muscleandstrength.com/sites/default/files/styles/400x250/public/field/image/exercise/dumbbellsidebend1.jpg?itok=OLB71TfE,
Plank,"{""targetMuscleGroup"":""Abs"",""exerciseType"":""Strength"",""equipmentRequired"":""Bodyweight"",""mechanics"":""Isolation"",""forceType"":""Static"",""experienceLevel"":""Beginner"",""secondaryMuscles"":""Lower Back ""}","The plank (AKA hover) is an excellent exercise for building overall core strength. The video above demonstrates the most common plank variation. If you're new to training and do not have the core strength to do a full plank you can start with your knees on the floor and work up to knees off the floor as you get stronger.
You can make the plank harder by raising one foot of the floor. If that's still easy for you, raise one foot off the floor and the opposing hand at the same time. If you're in the gym you can also try weighted planks by adding weight plates to your back for additional resistence. Just make sure you do not let your midsection sag throughout the exercise.
","The Plank is a stationary exercise that helps strengthen the entire core of the body Set up for the plank by getting a mat and laying down on your stomach To start the exercise prop your torso up on your elbows and your feet up on your toes Keeping yourself completely straight, hold this position for as long as possible Typically, the plank is done for 3 x 1 minute sets However, as you get stronger your should be able to do 1 - 3 minutes ","Do not let your mid section sag in the middle  You need to keep yourself straight at all times Do this exercise in front of a mirror to make sure you are not letting your technique slip Raise an arm or a leg to increase intensity ",https://cdn.muscleandstrength.com/sites/default/files/styles/400x250/public/field/image/exercise/plank1.jpg?itok=Et69GtRT,
Hanging Leg Raise,"{""targetMuscleGroup"":""Abs"",""exerciseType"":""Strength"",""equipmentRequired"":""Bodyweight"",""mechanics"":""Isolation"",""forceType"":""Pull"",""experienceLevel"":""Advanced"",""secondaryMuscles"":""Forearms ""}",,"The hanging leg raise is an awesome exercise for building the lower abs All you need for this exercise is somewhere to hang from It could be a chinup bar or it could be a tree Once you're hanging, tense up the mid section While keeping your legs straight, raise your them up slowly You should raise your legs are high as possible Pause for a second, and slowly lower your legs back to the starting position Repeat for desired reps ​Leg Raise ","Speed is so important with the hanging leg raise If you swing your legs, you're using momentum and your abs will not benefit much from the exercise Do not allow your body to swing Keep your torso as still and controlled as possible  Advanced lifters can add weight by holding a dumbbell between the feet  ",https://cdn.muscleandstrength.com/sites/default/files/styles/400x250/public/field/image/exercise/hanginglegraise1.jpg?itok=WHenP2wX,
Ab Crunch,"{""targetMuscleGroup"":""Abs"",""exerciseType"":""Strength"",""equipmentRequired"":""Bodyweight"",""mechanics"":""Isolation"",""forceType"":""Pull (Bilateral)"",""experienceLevel"":""Beginner"",""secondaryMuscles"":""None ""}","The abdominal crunch, or ab crunch, is a flexion based abdominal exercise. It is a very common movement that even the newest of beginner lifters have probably tried before.
Most ab workouts include the ab crunch as it is thought to be one of the best core building exercises. However, instead of performing marathon sets of ab crunches, it is best to pair it with other ab movements such as the plank and hanging leg raise to get a complete ab workout.
The ab crunch replaced the sit up as the corner stone ab exercise. This is because people believed the sit up involved too much flexion which lends itself to lower back pain. Thus, it was replaced by the ab crunch, which accomplished the same movement pattern without overextending the spine.
Some may still experience low back pain performing the ab crunch. If this is the case, it is best to stick with ab exercises that focus more on stability and less on flexion such as the plank.
","Lay supine in a relaxed position with your knees up and hands across your chest Exhale and squeeze your abs as you curl your upper body off the floor Once your abs are fully contracted and your upper back is off the floor, slowly lower yourself back to the starting position Complete for the assigned number of repetitions ","Exhale hard like you’re blowing out candles on a cake and hold the contraction for a second in order to improve mind muscle connection If your lower back bothers you during this exercise, choose more anti extension and anti rotation based movements Avoid putting the hands behind the head as this can lead to excess strain upon the neck ",https://cdn.muscleandstrength.com/sites/default/files/ab-crunch.jpg,https://www.youtube.com/embed/Plh1CyiPE_Y?rel=0
Side Plank,"{""targetMuscleGroup"":""Abs"",""exerciseType"":""Strength"",""equipmentRequired"":""Bodyweight"",""mechanics"":""Isolation"",""forceType"":""Static"",""experienceLevel"":""Beginner"",""secondaryMuscles"":""Lower Back ""}",,"The side plank is a great exercise for building core strength, and more specifically oblique strength It's also a good balance exercise It's your choice whether to use a mat in this exercise Start by laying on your side with one hand on the floor and your feet on top of one another If you prefer, you can rest on your elbow instead of your hand Lift your hips up until your body is exactly straight Now hold this position for as long as possible You should feel this exercise in your abs and obliques Complete the same for the opposite side of the body ​Side Plank ",Do not let your mid-section sag  Always stay perfectly straight Do the side plank in front of the mirror to ensure you keep your technique tight!Try to hold your plank for a full minute  Hold the plank for longer periods of time for increased intensity  ,https://cdn.muscleandstrength.com/sites/default/files/styles/400x250/public/field/image/exercise/sideplank1.jpg?itok=iFJ7PYxO,
